Gene ID	Mirbase ID	Site Type	UTR start	UTR end	3P_score	Local_AU	Min_dist	Len_3UTR	SA	Len_ORF	ORF8m	Off6m	TA_3UTR	SPS	PCT
CDC2L6	hsa-miR-1-3p	6mer	3602	3607	2.04166666667	0.5335	2.97025	3.647	-3.978	3.1705862069			3.54003448276	-5.72542857143	0.0
CDC2L6	hsa-miR-1-3p	7mer-1a	2588	2594	2.0	0.495	3.30433333333	3.65830232558	-0.398805194805	3.18314285714			3.5381965812	-5.68284210526	0.0
CDC2L6	hsa-miR-101-3p.1	7mer-1a	1662	1668	2.5	0.47664	3.2294	3.65830232558	-2.33805194805	3.18314285714			3.54453846154	-4.98768421053	0.0
CDC2L6	hsa-miR-101-3p.1	6mer	519	524	1.52083333333	0.521575	2.69875	3.404	-1.77	3.1705862069			3.54003448276	-4.97685714286	0.0
CDC2L6	hsa-miR-101-3p.1	6mer	1591	1596	4.02083333333	0.497725	3.1965	3.647	-4.13571428571	3.1705862069			3.54003448276	-4.97685714286	0.0
CDC2L6	hsa-miR-101-3p.1	6mer	3167	3172	4.02083333333	0.688525	3.15125	3.647	-0.981428571429	3.1705862069			3.54003448276	-4.97685714286	0.0
CDC2L6	hsa-miR-10a-5p	6mer	2655	2660	2.45833333333	0.521575	3.287	3.647	-3.34714285714	3.1705862069			3.43327586207	-8.42028571429	0.0
CDC2L6	hsa-miR-10b-5p	6mer	2655	2660	2.45833333333	0.521575	3.287	3.647	-3.34714285714	3.1705862069			3.43327586207	-8.42028571429	0.0
CDC2L6	hsa-miR-18a-5p	7mer-m8	308	314	2.0	0.610813559322	2.494125	3.41138961039	-1.1608880597	3.18408			3.3324676259	-9.50066666667	0.0530833333333
CDC2L6	hsa-miR-18a-5p	7mer-m8	448	454	1.5	0.81909039548	2.63742857143	3.41138961039	-1.63030597015	3.18408			3.3324676259	-9.50066666667	0.0530833333333
CDC2L6	hsa-miR-18a-5p	6mer	2817	2822	3.5	0.354625	3.24175	3.647	-1.92771428571	3.1705862069			3.33986206897	-6.02485714286	0.0
CDC2L6	hsa-miR-18b-5p	7mer-m8	308	314	2.0	0.610813559322	2.494125	3.41138961039	-1.1608880597	3.18408			3.3324676259	-9.50066666667	0.0530833333333
CDC2L6	hsa-miR-18b-5p	7mer-m8	448	454	1.5	0.81909039548	2.63742857143	3.41138961039	-1.63030597015	3.18408			3.3324676259	-9.50066666667	0.0530833333333
CDC2L6	hsa-miR-18b-5p	6mer	2817	2822	3.5	0.354625	3.24175	3.647	-1.92771428571	3.1705862069			3.33986206897	-6.02485714286	0.0
CDC2L6	hsa-miR-206	6mer	3602	3607	2.04166666667	0.5335	2.97025	3.647	-3.978	3.1705862069			3.54003448276	-5.72542857143	0.0
CDC2L6	hsa-miR-206	7mer-1a	2588	2594	1.5	0.495	3.30433333333	3.65830232558	-0.398805194805	3.18314285714			3.5381965812	-5.68284210526	0.0
CDC2L6	hsa-miR-4651	6mer	204	209	2.04166666667	0.545425	2.201	3.269	-1.13914285714	3.1705862069			3.75355172414	-10.0671428571	0.0
CDC2L6	hsa-miR-4651	7mer-1a	4387	4393	2.0	0.27468	2.14286666667	3.65830232558	-3.61511688312	3.18314285714			3.76016239316	-10.0142105263	0.0
CDC2L6	hsa-miR-4735-3p	7mer-m8	308	314	2.0	0.610813559322	2.494125	3.41138961039	-1.1608880597	3.18408			3.3324676259	-9.50066666667	0.0530833333333
